feature,p_val,avg_logFC,pct.1,pct.2,p_val_adj,avg_log2FC
PHPT1,4.06E-14,0.041880097,0.901,0.927,1.37E-09,0.041880097
HAX1,1.94E-71,0.041937489,0.606,0.685,6.55E-67,0.041937489
ATP5E,0.000161048,0.042098281,0.996,0.997,1,0.042098281
ARRB2,8.82E-69,0.042233389,0.441,0.503,2.97E-64,0.042233389
URI1,6.86E-61,0.042261745,0.602,0.677,2.31E-56,0.042261745
SLC7A5,5.07E-40,0.042341582,0.148,0.146,1.71E-35,0.042341582
PSMA7,1.94E-08,0.042424512,0.973,0.983,0.00065446,0.042424512
RNASEH1,8.76E-70,0.042435008,0.393,0.449,2.95E-65,0.042435008
RAB32,5.78E-86,0.042559041,0.48,0.567,1.95E-81,0.042559041
XRCC6,3.14E-14,0.042631234,0.913,0.937,1.06E-09,0.042631234
PXK,2.77E-51,0.042703438,0.235,0.254,9.34E-47,0.042703438
LYZ,9.98E-60,0.042762705,0.242,0.293,3.36E-55,0.042762705
MFSD10,3.15E-64,0.042771197,0.349,0.397,1.06E-59,0.042771197
NOLC1,2.01E-69,0.042778972,0.541,0.625,6.77E-65,0.042778972
RPS19BP1,4.70E-57,0.04281948,0.691,0.766,1.58E-52,0.04281948
SF3B5,1.27E-20,0.042823298,0.903,0.937,4.28E-16,0.042823298
STUB1,3.84E-62,0.043116438,0.673,0.749,1.29E-57,0.043116438
ST3GAL4,2.29E-54,0.043286208,0.241,0.265,7.71E-50,0.043286208
SSRP1,3.13E-44,0.043445939,0.767,0.83,1.05E-39,0.043445939
CD33,1.03E-77,0.043554456,0.449,0.521,3.46E-73,0.043554456
GFI1B,6.34E-22,0.043599387,0.158,0.16,2.14E-17,0.043599387
COX7B,1.33E-08,0.043706449,0.979,0.987,0.000447965,0.043706449
YDJC,2.09E-75,0.043911329,0.5,0.575,7.04E-71,0.043911329
PTPN7,2.59E-73,0.043931754,0.605,0.691,8.74E-69,0.043931754
PABPC4,4.20E-53,0.044015807,0.595,0.655,1.42E-48,0.044015807
SMARCA4,6.42E-65,0.044186156,0.641,0.715,2.16E-60,0.044186156
HMGN2,2.30E-07,0.044194569,0.991,0.993,0.007757995,0.044194569
SNRPG,1.52E-15,0.044293494,0.959,0.978,5.13E-11,0.044293494
LDHA,1.46E-06,0.044384139,0.985,0.99,0.049277315,0.044384139
C19orf70,9.30E-25,0.044545293,0.882,0.923,3.13E-20,0.044545293
GLUL,1.02E-66,0.044635775,0.377,0.443,3.42E-62,0.044635775
PPP6R1,2.15E-51,0.044661697,0.499,0.545,7.26E-47,0.044661697
SRRM2,3.41E-34,0.044699402,0.878,0.925,1.15E-29,0.044699402
ATP5I,1.02E-15,0.044778744,0.933,0.957,3.45E-11,0.044778744
GADD45GIP1,3.10E-30,0.044787924,0.879,0.922,1.04E-25,0.044787924
FKBP11,1.99E-63,0.044857418,0.522,0.592,6.71E-59,0.044857418
TMED3,4.86E-63,0.044942483,0.665,0.741,1.64E-58,0.044942483
SQLE,3.24E-51,0.044969412,0.578,0.642,1.09E-46,0.044969412
